304.0,-40.0
824.0,-30.0
360.0,-15.0
1312.0,-40.0
944.0,-200.0
472.0,-205.0
88.0,10.0
992.0,-185.0
456.0,145.0
680.0,-125.0
1208.0,110.0
1328.0,225.0
1504.0,240.0
1392.0,-30.0
1448.0,65.0
1432.0,225.0
1176.0,60.0
712.0,-85.0
912.0,40.0
856.0,20.0
1032.0,65.0
632.0,200.0
800.0,40.0
720.0,15.0
856.0,260.0
936.0,25.0
1168.0,280.0
704.0,65.0
616.0,85.0
720.0,230.0
1064.0,380.0
776.0,75.0
1184.0,-120.0
1032.0,-210.0
800.0,-160.0
400.0,485.0
912.0,255.0
216.0,-10.0
744.0,215.0
424.0,135.0
368.0,180.0
472.0,195.0
592.0,265.0
720.0,390.0
328.0,125.0
664.0,340.0
536.0,165.0
648.0,-45.0
816.0,190.0
840.0,75.0
760.0,205.0
640.0,60.0
496.0,-80.0
1160.0,-155.0
1224.0,260.0
920.0,150.0
